IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_SKU,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired,isNearExpiry,Timestamp,Status,SHPD_ShipmentMID,SHPH_ShipmentCode,PL_ProductId,SHPD_ProductName,SCPM_Code,MachinePass,CameraPass,TotalPassCount,CurrentWeight,ProductDynamicWeight,NearExpiryAccepted,BypassAccepted,BoxNumber,TotalBoxes
250,84,5.5,500,500,1,165,6,1,01010855QX7I7C,https://vsecure.techtrio.com/ShreeBhagwati/01010855QX7I7C,,2026-02-13T13:00:00.000Z,,1,1,2026-02-14 17:48:18,PASS,424,WH_40,84,PRODUCT GFH,MM,YES,YES,8,45.27,82.26,NO,YES,1,2
249,84,5.5,500,500,1,165,6,1,0101085F1MATCP,https://vsecure.techtrio.com/ShreeBhagwati/0101085F1MATCP,,2026-02-13T13:00:00.000Z,,1,1,2026-02-14 17:50:11,PASS,424,WH_40,84,PRODUCT GFH,MM,YES,YES,351,16.36,26.47,NO,YES,2,2
