SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,SCPM_Caption,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,LCM_LocationName,Address,userId,userName,total,pass,fail,remaining,status,BypassMode,count_pass_correct,count_fail_weight,count_fail_no_read,count_fail_unknown_rsn,count_fail_missed_scan,count_pass_bypass_accepted,count_fail_bypass_rejected,count_fail_bypass_timeout,count_fail_duplicate_rsncount_fail_weight_under,count_fail_weight_over,count_fail_weight_under,count_fail_duplicate_rsn,_batch_ids,_batch_limits,_batch_used,UsedCount
423,56,New Order,6,WH_40,ORD_SO_SBG_82,1,MM,MAHESHWARI MARKETING,,BlueDart,GJ38TA8910,PRODUCT ZYX,PZYX,83,,,,,1,163,1,MAHESHWARI MARKETING,"3H76+4WW, Shaherchand Bapuji Wadi, Bhimjipura, New Vadaj, Ahmedabad, Gujarat, India, 380013",2,WH,1,0,0,1,RUNNING,False,0,0,0,0,0,0,0,0,0,0,0,0,['163'],[1],[0],0
424,56,New Order,6,WH_40,ORD_SO_SBG_82,1,MM,MAHESHWARI MARKETING,,BlueDart,GJ38TA8910,PRODUCT GFH,PGFH,84,,,,,2,164,2,MAHESHWARI MARKETING,"3H76+4WW, Shaherchand Bapuji Wadi, Bhimjipura, New Vadaj, Ahmedabad, Gujarat, India, 380013",2,WH,2,2,18,0,COMPLETED,False,2,15,0,0,0,0,0,0,0,1,6,0,['164'],[2],[0],0
427,56,New Order,6,WH_40,ORD_SO_SBG_46,3,SE,SOMNATH ENTERPRISE,,BlueDart,GJ38TA8910,PRODUCT 400,P400,61,,,,,5,"113,120,121","1,3,1",SOMNATH ENTERPRISE,"Naroda Rd, opp. of Kubernagar Road,  A Ward, Naroda Patiya, Naroda, Ahmedabad, Gujarat, India, 382340",2,WH,5,0,0,5,,False,0,0,0,0,0,0,0,0,0,0,0,0,"['113', '120', '121']","[1, 3, 1]","[0, 0, 0]","0,0,0"
