IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_SKU,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired,isNearExpiry
242,81,5.5,500,500,1,161,6,1,0101082OHT5WY6,https://vsecure.techtrio.com/ShreeBhagwati/0101082OHT5WY6,,2026-08-11T18:30:00.000Z,,0,0
240,82,5.5,500,500,1,160,6,1,0101083UG4QPQV,https://vsecure.techtrio.com/ShreeBhagwati/0101083UG4QPQV,,2026-08-11T18:30:00.000Z,,0,0
239,82,5.5,500,500,1,160,6,1,0101083X0BG5DR,https://vsecure.techtrio.com/ShreeBhagwati/0101083X0BG5DR,,2026-08-11T18:30:00.000Z,,0,0
198,60,5.5,600,500,1,122,6,1,0101060GF3WCHB,https://vsecure.techtrio.com/ShreeBhagwati/0101060GF3WCHB,,2026-02-19T18:30:00.000Z,,0,0
197,60,5.5,600,500,1,122,6,1,010106087FETY4,https://vsecure.techtrio.com/ShreeBhagwati/010106087FETY4,,2026-02-19T18:30:00.000Z,,0,0
