SHPD_ShipmentMID,SHPH_ShipmentID,SHPH_ShipmentType,SHPH_Status,SHPH_ShipmentCode,ORDM_OrderNumber,SCPM_ID,SCPM_Code,SCPM_Name,SCPM_Caption,LGCM_Name,LGCVM_VehicleNumber,SHPD_ProductName,SHPD_ProductCode,PL_ProductId,PM_PackSize,PM_GrossWeight,PM_MinOffset,PM_MaxOffset,SHPD_ShipQty,BatchId,Count,LCM_LocationName,Address,userId,userName,total,pass,fail,remaining,status,BypassMode,count_pass_correct,count_fail_weight,count_fail_no_read,count_fail_unknown_rsn,count_fail_missed_scan,count_pass_bypass_accepted,count_fail_bypass_rejected,count_fail_bypass_timeout,count_fail_duplicate_rsncount_fail_weight_under,count_fail_weight_over,count_fail_weight_under,count_fail_duplicate_rsn,_batch_ids,_batch_limits,_batch_used,UsedCount
29,13,New Order,10,SBU2WH_11,ORD_SO_SB-U2_16,1,BFFO-U2,BHAGWATI FLOUR and FOODS OUTLET,BHAGWATI OUTLET,SpeedExpress,GJ38TA8566,PN,PN01,16,,,,,3,150,3,BHAGWATI FLOUR and FOODS OUTLET,"Sarkhej- Bavla Highway,, Moraiya (Changodar), Ahmedabad, Gujarat, India, 382 213",2,WH,3,1,12,2,RUNNING,True,1,0,8,3,0,0,0,0,0,0,0,0,['150'],[3],[0],0
28,13,New Order,10,SBU2WH_11,ORD_SO_SB-U2_15,2,OM-U2,OM MARKETING,OM,SpeedExpress,GJ38TA8566,PROD 27/02/2026,272,15,,,,,2,148,2,OM MARKETING,"Deepkala Avenue,, opposite Government Tubewell,, Ahmedabad, Gujarat, India, 380058",2,WH,2,2,11,0,COMPLETED,True,2,5,1,1,0,0,1,0,0,2,9,0,['148'],[2],[0],0
