IRS_ID,IRS_ProductID,PM_GrossWeight,PM_MaxOffset,PM_MinOffset,IRS_PackSize,IRS_BatchID,IRS_PhysicalLocation,IRS_CompanyID,IRS_RandomNo,IRS_SKU,IRS_ParentRandomNo,BL_ExpDate,IRS_ToSCP,isExpired,isNearExpiry,Timestamp,Status,SHPD_ShipmentMID,SHPH_ShipmentCode,PL_ProductId,SHPD_ProductName,SCPM_Code,MachinePass,CameraPass,TotalPassCount,CurrentWeight,ProductDynamicWeight,NearExpiryAccepted,BypassAccepted,BoxNumber,TotalBoxes,_batch_index
114,15,2.7,200,200,1,149,3,1,0101015DKOABDO,https://vsecure.techtrio.com/ShreeBhagwati/0101015DKOABDO,,2026-02-27T18:30:00.000Z,,0,1,2026-02-27 11:16:29,PASS,28,SBU2WH_11,15,PROD 27/02/2026,OM-U2,YES,YES,1,2750,2700,NO,YES,1,2,
117,16,2.7,200,200,1,150,3,1,01010168T5GFF3,https://vsecure.techtrio.com/ShreeBhagwati/01010168T5GFF3,,2026-03-08T18:30:00.000Z,,0,0,2026-02-27 11:22:04,PASS,29,SBU2WH_11,16,PN,BFFO-U2,YES,YES,1,2670,2700,NO,NO,1,3,0.0
111,15,2.7,200,200,1,148,3,1,0101015HU7JGXJ,https://vsecure.techtrio.com/ShreeBhagwati/0101015HU7JGXJ,,2026-02-27T18:30:00.000Z,,0,1,2026-02-27 11:43:18,PASS,28,SBU2WH_11,15,PROD 27/02/2026,OM-U2,YES,YES,1,2710,2700,YES,NO,2,2,
